id_letter_dim,letter_pg_title,letter_text,letter_note,entry
NULL,1,1,Let's Talk About the Hulk
1,6,let's visit the X-Men,
NULL,1,2,Spider's Web
NULL,1,1624,Fantastic Four Fan Page
NULL,1,554,Let\'s Talk About the Hulk
NULL,1,4,Spider's Web
NULL,1,5,Let's Talk about the Hulk
NULL,1,1526,Fantastic Four Fan Page
NULL,1,7,Spider's Web
NULL,1,592,Let\'s Talk About the Hulk
NULL,1,1564,Fantastic Four Fan Page
1,8,let's visit the X-Men,
1,9,let's visit the X-Men,
1,10,let's visit the X-Men,
1,11,let's visit the X-Men,
1,12,let's visit the X-Men,
1,13,let's visit the X-Men,
1,14,let's visit the X-Men,
1,15,let's visit the X-Men,
1,16,let's visit the X-Men,
NULL,1,67,Spider's Web
1,17,let's visit the X-Men,
1,18,let's visit the X-Men,
1,19,let's visit the X-Men,
1,20,let's visit the X-Men,
1,21,let's visit the X-Men,
1,22,let's visit the X-Men,
1,23,let's visit the X-Men,
1,24,let's visit the X-Men,
1,25,let's visit the X-Men,
NULL,1,367,Spider\'s Web
1,26,let's visit the X-Men,
1,795,Mutant Mail-Box,
1,27,let's visit the X-Men,
1,28,let's visit the X-Men,
1,29,let's visit the X-Men,
1,56,let's visit the X-Men,
NULL,1,614,Spider\'s Web
NULL,1,686,Spider\'s Web
Personal Collection,NULL,1,3708
1,30,let's visit the X-Men,
1,31,let's visit the X-Men,
1,32,let's visit the X-Men,
1,33,let's visit the X-Men,
NULL,1,1977,Fantastic Four Fan Page
1,34,let's visit the X-Men,
NULL,1,361,Spider\'s Web
NULL,1,363,Spider\'s Web
1,35,let's visit the X-Men,
1,41,let's visit the X-Men,
NULL,1,394,Spider\'s Web
NULL,1,2940,Green Skin Grab-Bag
1,36,let's visit the X-Men,
1,37,let's visit the X-Men,
1,38,let's visit the X-Men,
1,39,let's visit the X-Men,
1,40,let's visit the X-Men,
1,105,let's visit the X-Men,
NULL,1,389,Spider\'s Web
1,42,let's visit the X-Men,
1,43,let's visit the X-Men,
1,44,let's visit the X-Men,
1,45,let's visit the X-Men,
NULL,1,379,Spider\'s Web
NULL,1,685,Spider\'s Web
1,46,let's visit the X-Men,
1,47,let's visit the X-Men,
1,48,let's visit the X-Men,
1,49,let's visit the X-Men,
1,50,let's visit the X-Men,
1,51,let's visit the X-Men,
1,52,let's visit the X-Men,
1,53,let's visit the X-Men,
1,54,let's visit the X-Men,
1,55,let's visit the X-Men,
1,57,let's visit the X-Men,
NULL,1,58,Spider's Web
